cell,predictions,config,mse,nse
41,"2022-01-01    2892.630296
2022-02-01    2463.411421
2022-03-01    2824.345845
2022-04-01    3053.373607
2022-05-01    3511.494709
2022-06-01    4023.209149
2022-07-01    4301.016929
2022-08-01    4298.918047
2022-09-01    4012.912505
2022-10-01    3660.000302
2022-11-01    4004.681437
2022-12-01    3132.955912
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 'ct']",156310.464,0.780882036
42,"2022-01-01    1676.647649
2022-02-01    2115.588869
2022-03-01    2221.190591
2022-04-01    2303.913915
2022-05-01    2413.481226
2022-06-01    2504.592208
2022-07-01    2631.946515
2022-08-01    2731.283203
2022-09-01    2678.201983
2022-10-01    2745.328773
2022-11-01    3264.694243
2022-12-01    2289.069182
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (0, 1, 1, 12), 'ct']",86943.11386,0.685855057
43,"2022-01-01    5715.673682
2022-02-01    5207.944442
2022-03-01    4874.004124
2022-04-01    4565.004797
2022-05-01    4535.427990
2022-06-01    4842.555321
2022-07-01    5431.902353
2022-08-01    5652.544081
2022-09-01    5801.812393
2022-10-01    5587.188254
2022-11-01    5562.298334
2022-12-01    5385.375129
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (1, 0, 2, 12), 'ct']",12699.79368,0.940117867
44,"2022-01-01    5744.220365
2022-02-01    5292.962442
2022-03-01    4981.969436
2022-04-01    4661.131566
2022-05-01    4641.387134
2022-06-01    5038.632552
2022-07-01    5596.731887
2022-08-01    5772.229377
2022-09-01    5865.027824
2022-10-01    5655.723433
2022-11-01    5638.007715
2022-12-01    5509.152879
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 2), (1, 0, 2, 12), 't']",12479.52333,0.9315549
45,"2022-01-01    5261.543695
2022-02-01    5002.290104
2022-03-01    4643.330407
2022-04-01    4327.979727
2022-05-01    4323.428235
2022-06-01    4730.567522
2022-07-01    5539.850861
2022-08-01    5840.250253
2022-09-01    5900.573573
2022-10-01    5542.296435
2022-11-01    5224.233514
2022-12-01    5143.496974
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (1, 1, 2, 12), 'ct']",16959.03882,0.942167576
46,"2022-01-01    4925.819445
2022-02-01    4126.978110
2022-03-01    3717.865986
2022-04-01    3437.970804
2022-05-01    3437.453540
2022-06-01    3750.275791
2022-07-01    4970.480988
2022-08-01    5751.409659
2022-09-01    5637.313540
2022-10-01    5230.425210
2022-11-01    5194.603794
2022-12-01    4546.900639
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 0), (2, 1, 2, 12), 'ct']",12991.23015,0.982416062
47,"2022-01-01    3081.806744
2022-02-01    2634.101142
2022-03-01    2516.999587
2022-04-01    2500.004984
2022-05-01    2403.457207
2022-06-01    2606.152787
2022-07-01    4219.241275
2022-08-01    5311.040186
2022-09-01    5431.773006
2022-10-01    4515.795432
2022-11-01    3935.559330
2022-12-01    3183.659265
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (2, 1, 2, 12), 'c']",23358.64905,0.981040115
48,"2022-01-01    3336.731977
2022-02-01    3603.755966
2022-03-01    3248.028583
2022-04-01    3042.770733
2022-05-01    2975.393715
2022-06-01    3246.534169
2022-07-01    4642.685010
2022-08-01    5407.823289
2022-09-01    5437.717870
2022-10-01    4819.627714
2022-11-01    3853.115518
2022-12-01    4021.007098
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (2, 1, 2, 12), 'c']",17127.71272,0.98060424
49,"2022-01-01    2744.988235
2022-02-01    2548.996497
2022-03-01    2385.142140
2022-04-01    2350.570058
2022-05-01    2253.203025
2022-06-01    2437.300144
2022-07-01    3695.567272
2022-08-01    4742.097017
2022-09-01    4927.566298
2022-10-01    4192.247011
2022-11-01    3499.810821
2022-12-01    3079.839924
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (1, 1, 2, 12), 'n']",37472.6363,0.965456391
50,"2022-01-01    2508.997034
2022-02-01    2329.468483
2022-03-01    2162.283259
2022-04-01    2108.927195
2022-05-01    2078.762317
2022-06-01    2348.523750
2022-07-01    3705.996329
2022-08-01    5070.646087
2022-09-01    4984.956763
2022-10-01    4241.377220
2022-11-01    3580.829920
2022-12-01    2967.467534
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (2, 1, 2, 12), 'c']",40779.6135,0.971496758
